GKA,AYGA
MAG,AYMD
HGU,AYMH
LAE,AYNZ
POM,AYPY
WWK,AYWK
UAK,BGBW
GOH,BGGH
SFJ,BGSF
THU,BGTL
AEY,BIAR
EGS,BIEG
HFN,BIHN
HZK,BIHU
IFJ,BIIS
KEF,BIKF
PFJ,BIPA
RKV,BIRK
SIJ,BISI
VEY,BIVM
YAM,CYAM
YAV,CYAV
YAW,CYAW
YAY,CYAY
YAZ,CYAZ
YBB,CYBB
YBC,CYBC
YBG,CYBG
YBK,CYBK
YBL,CYBL
YBR,CYBR
YCB,CYCB
YCD,CYCD
YCG,CYCG
YCH,CYCH
YCL,CYCL
YCO,CYCO
YCT,CYCT
YCW,CYCW
YCY,CYCY
YZS,CYZS
YDA,CYDA
YDB,CYDB
YDC,CYDC
YDF,CYDF
YDL,CYDL
YDN,CYDN
YDQ,CYDQ
YEG,CYEG
YEK,CYEK
YEN,CYEN
YET,CYET
YEU,CYEU
YEV,CYEV
YFB,CYFB
YFC,CYFC
\N,CYFE
YFO,CYFO
YFR,CYFR
YFS,CYFS
YGK,CYGK
YGL,CYGL
YGP,CYGP
YGQ,CYGQ
YGR,CYGR
YHB,CYHB
YHD,CYHD
YHI,CYHI
YHK,CYHK
YHM,CYHM
YHU,CYHU
YHY,CYHY
YHZ,CYHZ
YIB,CYIB
YIO,CYIO
YJN,CYJN
YJT,CYJT
YKA,CYKA
YKF,CYKF
YKL,CYKL
YKY,CYKY
YKZ,CYKZ
YLD,CYLD
YLJ,CYLJ
YLL,CYLL
YLT,CYLT
YLW,CYLW
YMA,CYMA
YMJ,CYMJ
YMM,CYMM
YMO,CYMO
YMW,CYMW
YMX,CYMX
YNA,CYNA
YND,CYND
YNM,CYNM
YOC,CYOC
YOD,CYOD
YOJ,CYOJ
YOW,CYOW
YPA,CYPA
YPE,CYPE
YPG,CYPG
\N,CYPK
YPL,CYPL
YPN,CYPN
YPQ,CYPQ
YPR,CYPR
YPY,CYPY
YQA,CYQA
YQB,CYQB
YQF,CYQF
YQG,CYQG
YQH,CYQH
YQK,CYQK
YQL,CYQL
YQM,CYQM
YQQ,CYQQ
YQR,CYQR
YQT,CYQT
YQU,CYQU
YQV,CYQV
YQW,CYQW
YQX,CYQX
YQY,CYQY
YQZ,CYQZ
YRB,CYRB
YRI,CYRI
YRJ,CYRJ
YRM,CYRM
YRT,CYRT
YSB,CYSB
YSC,CYSC
YSJ,CYSJ
YSM,CYSM
YSR,CYSR
YSU,CYSU
YSY,CYSY
YTE,CYTE
YTH,CYTH
YTR,CYTR
YTS,CYTS
YTZ,CYTZ
YUB,CYUB
YUL,CYUL
YUT,CYUT
YUX,CYUX
YUY,CYUY
YVC,CYVC
YVG,CYVG
YVM,CYVM
YVO,CYVO
YVP,CYVP
YVQ,CYVQ
YVR,CYVR
YVT,CYVT
YVV,CYVV
YWA,CYWA
YWG,CYWG
YWK,CYWK
YWL,CYWL
YWY,CYWY
YXC,CYXC
YXD,CYXD
YXE,CYXE
YXH,CYXH
YXJ,CYXJ
YXL,CYXL
YXP,CYXP
YXR,CYXR
YXS,CYXS
YXT,CYXT
YXU,CYXU
YXX,CYXX
YXY,CYXY
YYB,CYYB
YYC,CYYC
YYD,CYYD
YYE,CYYE
YYF,CYYF
YYG,CYYG
YYH,CYYH
YYJ,CYYJ
YYL,CYYL
YYN,CYYN
YYQ,CYYQ
YYR,CYYR
YYT,CYYT
YYU,CYYU
YYW,CYYW
YYY,CYYY
YYZ,CYYZ
YZD,CYZD
YZE,CYZE
YZF,CYZF
YZH,CYZH
YZP,CYZP
YZR,CYZR
YZT,CYZT
YZU,CYZU
YZV,CYZV
YZW,CYZW
YZX,CYZX
ZFA,CZFA
ZFM,CZFM
\N,DAAB
\N,DAAD
BJA,DAAE
ALG,DAAG
DJG,DAAJ
QFD,DAAK
\N,DAAN
VVZ,DAAP
\N,DAAQ
TMR,DAAT
GJL,DAAV
\N,DAAY
\N,DAAZ
AAE,DABB
CZL,DABC
TEE,DABS
HRM,DAFH
TID,DAOB
\N,DAOE
TIN,DAOF
QAS,DAOI
TAF,DAOL
TLM,DAON
ORN,DAOO
\N,DAOS
MUW,DAOV
AZR,DAUA
BSK,DAUB
ELG,DAUE
GHA,DAUG
HME,DAUH
INZ,DAUI
TGR,DAUK
LOO,DAUL
TMX,DAUT
OGX,DAUU
IAM,DAUZ
COO,DBBB
OUA,DFFD
BOY,DFOO
ACC,DGAA
TML,DGLE
\N,DGLW
NYI,DGSN
TKD,DGTK
ABJ,DIAP
BYK,DIBK
DJO,DIDL
HGO,DIKO
MJC,DIMN
SPY,DISP
ASK,DIYO
ABV,DNAA
AKR,DNAK
BNI,DNBE
CBQ,DNCA
ENU,DNEN
QUS,DNGU
IBA,DNIB
ILR,DNIL
JOS,DNJO
KAD,DNKA
KAN,DNKN
MIU,DNMA
MDI,DNMK
LOS,DNMM
MXJ,DNMN
PHC,DNPO
SKO,DNSO
YOL,DNYO
ZAR,DNZA
MFQ,DRRM
NIM,DRRN
THZ,DRRT
AJY,DRZA
\N,DRZD
\N,DRZF
ZND,DRZR
MIR,DTMB
TUN,DTTA
\N,DTTB
\N,DTTD
GAF,DTTF
GAE,DTTG
\N,DTTI
DJE,DTTJ
EBM,DTTR
SFA,DTTX
TOE,DTTZ
LRL,DXNG
LFW,DXXX
ANR,EBAW
\N,EBBE
\N,EBBL
BRU,EBBR
\N,EBBX
CRL,EBCI
\N,EBCV
\N,EBFN
\N,EBFS
QKT,EBKT
LGG,EBLG
OST,EBOS
\N,EBSL
\N,EBST
\N,EBSU
\N,EBUL
\N,EBWE
\N,EBZR
\N,EDAB
AOC,EDAC
\N,EDAD
\N,EDAE
\N,EDAK
\N,EDAM
\N,EDAQ
\N,EDAU
\N,EDAX
\N,EDAY
\N,EDAZ
BBH,EDBH
\N,EDBJ
\N,EDBK
Germany,\N
\N,EDBR
\N,EDCA
\N,EDCD
\N,EDCM
SXF,EDDB
DRS,EDDC
ERF,EDDE
FRA,EDDF
FMO,EDDG
HAM,EDDH
THF,EDDI
CGN,EDDK
DUS,EDDL
MUC,EDDM
NUE,EDDN
LEJ,EDDP
SCN,EDDR
STR,EDDS
TXL,EDDT
HAJ,EDDV
BRE,EDDW
QEF,EDFE
HHN,EDFH
MHG,EDFM
\N,EDFQ
\N,EDFV
\N,EDFZ
\N,EDGE
\N,EDGS
XFW,EDHI
KEL,EDHK
LBC,EDHL
\N,EDKV
\N,EDKZ
ZCA,EDLA
ESS,EDLE
\N,EDLI
MGL,EDLN
PAD,EDLP
\N,EDLS
DTM,EDLW
AGB,EDMA
\N,EDMB
\N,EDME
\N,EDMN
OBF,EDMO
RBM,EDMS
\N,EDMV
\N,EDNL
FDH,EDNY
SZW,EDOP
ZSN,EDOV
\N,EDPA
BYU,EDQD
\N,EDQE
HOQ,EDQM
\N,EDQT
ZNV,EDRK
ZQF,EDRT
ZQC,EDRY
ZQW,EDRZ
ZQL,EDTD
\N,EDTF
\N,EDTM
\N,EDTY
\N,EDUS
BWE,EDVE
KSF,EDVK
\N,EDVM
BRV,EDWB
EME,EDWE
\N,EDWF
WVN,EDWI
BMK,EDWR
NRD,EDWY
FLF,EDXF
\N,EDXR
GWT,EDXW
\N,EEEI
KDL,EEKA
URE,EEKE
EPU,EEPU
TLL,EETN
TAY,EETU
ENF,EFET
\N,EFEU
KEV,EFHA
HEM,EFHF
HEL,EFHK
\N,EFHM
\N,EFHN
HYV,EFHV
\N,EFIK
\N,EFIM
\N,EFIT
IVL,EFIV
JOE,EFJO
JYV,EFJY
KAU,EFKA
KEM,EFKE
KAJ,EFKI
\N,EFKJ
KOK,EFKK
\N,EFKM
KAO,EFKS
KTT,EFKT
KUO,EFKU
\N,EFLA
LPP,EFLP
MHQ,EFMA
\N,EFME
MIK,EFMI
\N,EFNU
OUL,EFOU
\N,EFPI
POR,EFPO
\N,EFPU
\N,EFPY
\N,EFRH
\N,EFRN
RVN,EFRO
\N,EFRY
SVL,EFSA
\N,EFSE
SOT,EFSO
TMP,EFTP
\N,EFTS
TKU,EFTU
QVY,EFUT
VAA,EFVA
VRK,EFVR
\N,EFYL
BFS,EGAA
ENK,EGAB
BHD,EGAC
LDY,EGAE
BHX,EGBB
CVT,EGBE
\N,EGBG
GLO,EGBJ
\N,EGBO
\N,EGBP
\N,EGBT
\N,EGBW
MAN,EGCC
\N,EGCD
\N,EGDC
NQY,EGHQ
LYE,EGDL
\N,EGDM
\N,EGDR
\N,EGDX
YEO,EGDY
\N,EGFE
CWL,EGFF
SWS,EGFH
BRS,EGGD
LPL,EGGP
LTN,EGGW
PLH,EGHD
BOH,EGHH
SOU,EGHI
QLA,EGHL
ACI,EGJA
GCI,EGJB
JER,EGJJ
ESH,EGKA
BQH,EGKB
LGW,EGKK
LCY,EGLC
FAB,EGLF
\N,EGLJ
BBS,EGLK
LHR,EGLL
SEN,EGMC
LYX,EGMD
MSE,EGMH
\N,EGNB
CAX,EGNC
\N,EGNE
BLK,EGNH
HUY,EGNJ
BWF,EGNL
LBA,EGNM
\N,EGNO
CEG,EGNR
IOM,EGNS
NCL,EGNT
MME,EGNV
EMA,EGNX
\N,EGOD
\N,EGOE
\N,EGOS
\N,EGOW
KOI,EGPA
LSI,EGPB
WIC,EGPC
ABZ,EGPD
INV,EGPE
GLA,EGPF
EDI,EGPH
ILY,EGPI
PIK,EGPK
BEB,EGPL
SCS,EGPM
DND,EGPN
SYY,EGPO
TRE,EGPU
ADX,EGQL
LMO,EGQS
CBG,EGSC
\N,EGSF
NWI,EGSH
STN,EGSS
\N,EGSX
\N,EGSY
\N,EGTC
EXT,EGTE
FZO,EGTG
OXF,EGTK
\N,EGUB
\N,EGUL
MHZ,EGUN
\N,EGUW
\N,EGUY
FFD,EGVA
BZZ,EGVN
ODH,EGVO
\N,EGWC
NHT,EGWU
QCY,EGXC
\N,EGXD
\N,EGXE
\N,EGXG
BEQ,EGXH
\N,EGXJ
\N,EGXP
\N,EGXT
HRT,EGXU
WTN,EGXW
\N,EGXZ
\N,EGYD
\N,EGYE
KNF,EGYM
MPN,EGYP
AMS,EHAM
\N,EHBD
MST,EHBK
\N,EHDL
\N,EHDR
EIN,EHEH
GRQ,EHGG
\N,EHGR
DHR,EHKD
LEY,EHLE
LWR,EHLW
RTM,EHRD
UTC,EHSB
ENS,EHTW
LID,EHVB
WOE,EHWO
ORK,EICK
GWY,EICM
DUB,EIDW
NOC,EIKN
KIR,EIKY
\N,EIME
SNN,EINN
SXL,EISG
WAT,EIWF
AAR,EKAH
BLL,EKBI
CPH,EKCH
EBJ,EKEB
\N,EKGH
KRP,EKKA
\N,EKLS
\N,EKMB
ODE,EKOD
\N,EKPB
RKE,EKRK
RNN,EKRN
SGD,EKSB
SKS,EKSP
\N,EKSV
TED,EKTS
\N,EKVD
FAE,EKVG
\N,EKVH
STA,EKVJ
